id,brand,name,abv,image_path,spirit_type,subtype,description
1,Archie Rose,Blasphemy,52%,archie_rose_blasphemy.jpg,Whiskey,Blended,A bold collaboration combining coffee and whiskey with intense flavors.
2,Archie Rose,Opera House - Classical,46%,archie_rose_classic.jpg,Whiskey,Single Malt,A smooth and refined single malt crafted for a classical palate.
3,Archie Rose,Opera House - Contemporary,46%,archie_rose_contemporary.jpg,Whiskey,Single Malt,A modern single malt with bold and innovative flavor notes.
4,Archie Rose,Rum Cask Single Malt,48%,archie_rose_rum_cask.jpg,Whiskey,Single Malt,A unique single malt aged in rum casks offering hints of tropical fruits and caramel.
5,Archie Rose,Rye,46%,archie_rose_rye.jpg,Whiskey,Rye,A spicy and complex rye whiskey with notes of clove and pepper.
6,Archie Rose,Single Malt,46%,archie_rose_single_malt.jpg,Whiskey,Single Malt,A rich and aromatic single malt showcasing Australian craftsmanship.
7,Archie Rose,Six Malt New Make,50%,archie_rose_six_malt.jpg,Whiskey,New Make Spirit,A vibrant and malty new make spirit with a clean and fresh profile.
8,Johnnie Walker,Gold Label,40%,jw_black_label.jpg,Whiskey,Blended Scotch,A smooth and smoky blended Scotch whisky with a rich taste.
9,Blanton's,Special Reserve,40%,blantons_special_reserve.jpg,Whiskey, Bourbon,description
10,Blanton's,Private Reserve,46.5%,blantons_private_reserve.jpg,Whiskey, Bourbon,description
11,Blanton's,Gold,51.5%,blantons_gold.jpg,Whiskey, Bourbon,description
12,Cragganmore,12 Year Old,40%,cragganmore_12.jpg,Whiskey, Scotch,description
13,Cragganmore,Distillers Edition,40%,cragganmore_distillers_2023.jpg,Whiskey, Scotch,description


